id;club_name;url;email;phone;fax;mobile_phone;address;zip;remark
1;Yuan Renminbi Centers;http://uriel.org;Kelton.Schowalter@hotmail.com;026-246-1648;Salad;Digitized invoice;convergence;Mayotte;../data/blob/hipster.txt
2;Industrial;https://opal.info;Golda_Tremblay72@hotmail.com;1-305-150-9383 x72585;Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;../data/blob/hipster.txt
3;magenta monitor 1080p;https://april.org;Mac_Buckridge85@yahoo.com;430-033-6367 x5628;Junction Frozen;synthesizing hard drive Robust;Avon;system Small;../data/blob/hipster.txt
4;Intelligent Outdoors;https://jarrell.biz;Johan.Powlowski24@yahoo.com;457-229-0526 x1896;modular Refined Squares;maroon;EXE projection Fresh;support Gorgeous;../data/blob/hipster.txt
5;withdrawal;http://rebeca.info;Ellsworth51@hotmail.com;1-442-612-3291 x325;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;../data/blob/hipster.txt
6;encompassing;https://lorenza.biz;Burdette.Lehner@hotmail.com;525.607.3227 x83469;deliver bypassing;hacking installation magenta;HDD;Algerian Dinar;../data/blob/hipster.txt
7;firewall;https://daniella.info;Autumn_Daniel39@yahoo.com;598.163.7129;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;../data/blob/hipster.txt
8;Human deposit;http://duncan.info;Mohammed_Stamm88@hotmail.com;786-809-1786 x650;Unbranded invoice;clear-thinking;Latvia;Ports Manager Fish;../data/blob/hipster.txt
9;Networked;http://chaya.net;Lysanne_Roberts65@yahoo.com;1-550-536-2225;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;../data/blob/hipster.txt
10;Alaska;https://lula.com;Zane_Weimann@gmail.com;(983) 709-9345;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;../data/blob/hipster.txt
